                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9805,                 2.0092,                 1.8309,                0.64284,                0.43335,                0.51577,                0.22818,                 2.0025,                 2.2254,                 1.8636,              0.0012481,              0.0012481,              0.0012481
                     35,                 1.9509,                 2.0388,                 1.8179,                0.62082,                 0.4439,                0.52634,                0.22883,                 1.9204,                 2.1102,                 1.8613,              0.0012354,              0.0012354,              0.0012354
                     36,                 1.9432,                 2.0627,                 1.8268,                0.60951,                0.43985,                0.50281,                0.22309,                 1.9698,                 2.1708,                 1.8901,              0.0012227,              0.0012227,              0.0012227
                     37,                  1.971,                 2.0239,                  1.838,                0.65202,                0.46059,                0.54775,                0.23979,                  1.939,                 2.0418,                 1.8538,                0.00121,                0.00121,                0.00121
                     38,                 1.9361,                 1.9426,                 1.7829,                0.59768,                 0.4987,                0.55337,                0.24776,                 1.9672,                 2.0396,                 1.8485,              0.0011973,              0.0011973,              0.0011973
                     39,                 1.9442,                 2.0379,                 1.7997,                0.66228,                0.47304,                0.56626,                0.25047,                 1.9204,                 2.0443,                 1.8578,              0.0011846,              0.0011846,              0.0011846
                     40,                 1.9476,                 1.9594,                 1.8045,                0.55691,                0.49242,                0.54518,                0.23876,                 1.9547,                 2.0504,                 1.8519,              0.0011719,              0.0011719,              0.0011719
                     41,                 1.9384,                 1.9783,                 1.7953,                0.65801,                0.49456,                0.58829,                 0.2595,                 1.9216,                  1.895,                 1.8072,              0.0011592,              0.0011592,              0.0011592
                     42,                 1.8835,                 1.8809,                 1.7586,                0.65254,                0.49938,                0.57934,                0.26013,                 1.9219,                 2.0389,                 1.8578,              0.0011465,              0.0011465,              0.0011465
                     43,                 1.9062,                 1.9957,                 1.7751,                0.63913,                0.47978,                0.55349,                 0.2365,                 1.9375,                 2.0713,                 1.8273,              0.0011338,              0.0011338,              0.0011338
                     44,                 1.9021,                 1.9096,                 1.7527,                0.61172,                 0.5101,                0.58429,                0.26896,                  1.885,                 1.9336,                 1.7778,              0.0011211,              0.0011211,              0.0011211
                     45,                 1.8882,                  1.927,                 1.7533,                0.68061,                0.53004,                0.60839,                0.27572,                 1.8666,                 1.9249,                 1.8176,              0.0011084,              0.0011084,              0.0011084
                     46,                  1.902,                  1.905,                 1.7653,                0.67305,                0.50635,                0.60469,                0.27654,                 1.8715,                 1.8727,                 1.7943,              0.0010957,              0.0010957,              0.0010957
                     47,                 1.8808,                 1.8776,                 1.7549,                0.65413,                0.54161,                0.62755,                0.28414,                  1.849,                 1.8323,                 1.7928,               0.001083,               0.001083,               0.001083
                     48,                 1.9226,                 1.8195,                 1.7732,                0.64697,                0.53338,                0.60261,                0.27268,                 1.8741,                 1.9265,                 1.8064,              0.0010703,              0.0010703,              0.0010703
                     49,                 1.8477,                 1.8319,                 1.7491,                0.63717,                0.56432,                0.63209,                0.29586,                  1.822,                 1.7996,                 1.7393,              0.0010576,              0.0010576,              0.0010576
                     50,                 1.8883,                 1.8307,                 1.7394,                0.70383,                0.55918,                0.65266,                0.32368,                 1.7911,                 1.8423,                 1.7534,               0.001045,               0.001045,               0.001045
                     51,                 1.8656,                  1.856,                 1.7517,                0.63848,                0.55961,                0.63399,                0.29649,                 1.7767,                 1.7746,                   1.73,              0.0010323,              0.0010323,              0.0010323
                     52,                 1.8857,                 1.7997,                 1.7392,                0.63024,                 0.5632,                0.63094,                0.28599,                 1.7806,                 1.7964,                  1.744,              0.0010196,              0.0010196,              0.0010196
                     53,                  1.817,                  1.737,                 1.6995,                0.66101,                0.53131,                 0.6088,                  0.297,                 1.7969,                 2.0084,                 1.8114,              0.0010069,              0.0010069,              0.0010069
                     54,                 1.8393,                 1.8158,                   1.73,                 0.6661,                0.56889,                0.66139,                 0.3165,                 1.7826,                   1.72,                 1.7323,             0.00099417,             0.00099417,             0.00099417
                     55,                 1.8377,                 1.7643,                 1.7124,                0.69551,                0.56553,                0.65209,                 0.3159,                 1.7879,                 1.7712,                 1.7198,             0.00098148,             0.00098148,             0.00098148
                     56,                 1.8059,                 1.7449,                 1.6891,                0.69125,                0.60072,                0.67978,                0.33338,                   1.75,                  1.692,                 1.6893,             0.00096878,             0.00096878,             0.00096878
                     57,                 1.7989,                 1.7474,                 1.7048,                0.70725,                0.56577,                 0.6783,                0.34718,                 1.6911,                  1.668,                 1.6953,             0.00095609,             0.00095609,             0.00095609
                     58,                 1.7908,                 1.7019,                 1.6777,                 0.6896,                0.58822,                0.66878,                0.32129,                 1.7507,                 1.6409,                 1.6783,             0.00094339,             0.00094339,             0.00094339
                     59,                 1.7799,                 1.6912,                 1.6866,                 0.7088,                 0.6095,                0.69618,                 0.3492,                  1.685,                 1.6676,                 1.6672,              0.0009307,              0.0009307,              0.0009307
                     60,                 1.7895,                 1.6441,                 1.6726,                0.71977,                0.62822,                0.71697,                0.34529,                 1.7295,                 1.6088,                 1.6728,               0.000918,               0.000918,               0.000918
                     61,                 1.7959,                 1.6877,                 1.6961,                0.76216,                0.59898,                0.70903,                0.35975,                 1.7259,                 1.6188,                 1.6788,             0.00090531,             0.00090531,             0.00090531
                     62,                  1.805,                 1.6453,                 1.6722,                0.75808,                0.62302,                0.72861,                0.38256,                 1.6757,                 1.5597,                 1.6493,             0.00089261,             0.00089261,             0.00089261
                     63,                  1.772,                 1.5998,                 1.6539,                0.67614,                0.70679,                0.75126,                0.38718,                 1.6515,                 1.5375,                  1.613,             0.00087992,             0.00087992,             0.00087992
                     64,                 1.7674,                 1.5989,                 1.6497,                0.72956,                0.61252,                0.72983,                0.38192,                  1.676,                 1.4978,                  1.614,             0.00086722,             0.00086722,             0.00086722
                     65,                 1.7454,                 1.5933,                 1.6541,                0.73132,                0.66465,                0.74683,                0.38204,                 1.6371,                 1.4605,                 1.6116,             0.00085453,             0.00085453,             0.00085453
                     66,                 1.7339,                 1.5771,                 1.6384,                0.70544,                0.65702,                0.72779,                0.37306,                 1.6497,                 1.4986,                 1.6257,             0.00084184,             0.00084184,             0.00084184
                     67,                 1.7863,                  1.591,                   1.69,                0.74186,                0.67794,                0.75918,                0.40004,                 1.5782,                   1.42,                  1.573,             0.00082914,             0.00082914,             0.00082914
                     68,                 1.7062,                  1.546,                 1.6246,                0.75988,                0.70217,                0.78155,                0.42864,                 1.5654,                 1.3794,                 1.5604,             0.00081645,             0.00081645,             0.00081645
                     69,                 1.6696,                   1.51,                 1.6073,                0.79977,                0.65764,                0.77814,                 0.4179,                 1.5713,                 1.3943,                 1.5562,             0.00080375,             0.00080375,             0.00080375
                     70,                 1.6975,                 1.5362,                   1.61,                0.76058,                 0.6588,                0.77703,                0.41594,                 1.5632,                 1.4503,                 1.5562,             0.00079106,             0.00079106,             0.00079106
                     71,                 1.7124,                 1.5382,                  1.626,                0.79081,                0.71712,                0.80364,                 0.4383,                 1.5668,                 1.3581,                 1.5575,             0.00077836,             0.00077836,             0.00077836
                     72,                 1.6957,                 1.4844,                 1.6039,                0.76437,                0.70885,                0.79007,                0.42944,                 1.5345,                 1.3514,                 1.5455,             0.00076567,             0.00076567,             0.00076567
                     73,                 1.6969,                 1.4982,                 1.6247,                0.77028,                0.69487,                0.79402,                0.43172,                 1.5325,                 1.3823,                 1.5376,             0.00075297,             0.00075297,             0.00075297
                     74,                 1.6548,                 1.4504,                 1.5641,                0.77663,                0.69969,                0.79413,                0.44397,                 1.5366,                 1.3841,                 1.5529,             0.00074028,             0.00074028,             0.00074028
                     75,                  1.669,                  1.447,                 1.5829,                0.81901,                0.72567,                0.83327,                0.46356,                 1.4976,                 1.2451,                  1.492,             0.00072758,             0.00072758,             0.00072758
                     76,                 1.6491,                 1.4521,                 1.5748,                0.79665,                0.73724,                0.82586,                0.47124,                 1.5009,                  1.254,                 1.4973,             0.00071489,             0.00071489,             0.00071489
                     77,                  1.647,                 1.3999,                 1.5664,                0.82779,                0.73555,                0.83971,                 0.4719,                 1.4736,                 1.2357,                 1.4959,             0.00070219,             0.00070219,             0.00070219
                     78,                 1.6198,                 1.4213,                   1.55,                0.82016,                0.74015,                0.83995,                0.48292,                 1.4487,                 1.1876,                 1.4612,              0.0006895,              0.0006895,              0.0006895
